Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,,,,24-06-2024 10:24:14,24-06-2024 10:24:54,39.614s,PASSED
,,,,,,,
Test Cases/Android Level Up/TC_Login,,,,24-06-2024 10:24:15,24-06-2024 10:24:54,38.980s,PASSED
"startExistingApplication(""id.indocyber.level_up"")",,,,24-06-2024 10:24:15,24-06-2024 10:24:36,20.971s,PASSED
"waitForElementPresent(findTestObject(""field_Username""), 5)",,,,24-06-2024 10:24:36,24-06-2024 10:24:41,5.162s,PASSED
"setText(findTestObject(""Object Repository/field_Username""), ""administrator"", 0)",,,,24-06-2024 10:24:41,24-06-2024 10:24:48,6.386s,PASSED
hideKeyboard(),,,,24-06-2024 10:24:48,24-06-2024 10:24:50,2.198s,PASSED
"waitForElementPresent(findTestObject(""field_Password""), 5)",,,,24-06-2024 10:24:50,24-06-2024 10:24:50,0.569s,PASSED
"clearText(findTestObject(""field_Password""), 5)",,,,24-06-2024 10:24:50,24-06-2024 10:24:51,0.094s,PASSED
"setText(findTestObject(""Object Repository/field_Password""), """", 0)",,,,24-06-2024 10:24:51,24-06-2024 10:24:51,0.134s,PASSED
hideKeyboard(),,,,24-06-2024 10:24:51,24-06-2024 10:24:52,1.766s,PASSED
"tap(findTestObject(""Object Repository/button_Login""), 0)",,,,24-06-2024 10:24:52,24-06-2024 10:24:53,0.541s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/VerifyLoginSuccess""), 30)",,,,24-06-2024 10:24:53,24-06-2024 10:24:54,0.591s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/VerifyLoginSuccess""), 0)",,,,24-06-2024 10:24:54,24-06-2024 10:24:54,0.089s,PASSED
